芸人名,アーティスト名,楽曲名
ライス,The Chordettes,Lollipop
ライセンス,ゴダイゴ,Monkey Magic
ラニーノーズ,ラニーノイズ,BUNNY
ラフ次元,ゆず,シシカバブー
ロックンロールブラザーズ,T.Rex,20th Century Boy
ロバート,Michael Jackson,Black or White
ロングコートダディ,Paradise Lunch,Gun's & Roses
井下好井,木村カエラ,BANZAI
回転ハッスル,MONGOL800,大迷惑
蛙亭,神聖かまってちゃん,砲の上のあの娘
学天即,東京パノラママンボボーイズ,キーハンター（非情のライセンス）
祇園,Mr.Children,彩り
吉田たち,岩崎良美,タッチ
金属バット,フィリピン国歌,最愛の地
銀シャリ,筋肉少女帯,日本の米
見取り図,チェッカーズ,涙のリクエスト
黒帯,電気グルーヴ,ポケットカーボーイ
三四郎,銀杏BOYZ,sexteen
四千頭身,Ed Sheeran,Shape of You
守谷日和,和田アキ子,さぁ冒険だ
十手リンジン,hide,ROCKET DIVE
小森園ひろし,桑田啓祐,ROCK AND ROLL HERO
数学AB,Carpenters,Top of the World
清友,恋物語OP,木枯らしセンティメント
青空,真心ブラザーズ,背景、ジョン・レノン
絶対アイシテルズ,ウルフルズ,愛がなくちゃ
千鳥,東京スカパラダイスオーケストラ,仁義なき戦いのテーマ
霜降り明星,The Beatles,Help!
大阪ほっと家族,Dragon Ash,I Love HIP HOP
大自然,久石譲,ピッコロの女たち
男性ブランコ,France Gall,夢見るシャンソン人形
中山女子短期大学,チャットモンチー,ここだけの話
天津,BRAHMAN,BEYOND THE MOUNTAIN
天秤丸,フジファブリック,Sugar!!
電氣ブラン,Fergie Nelly,Party People
東京ロマンポルノ,倉橋ヨエコ,恋の大捜査
二丁拳銃,THE BLUE HEARTS,44口径
尼神インター,宇多田ヒカル,Distance
博多華丸・大吉,Natural Radio Station,福岡WALKER
平成ノブシコブシ,Kenny Loggins,Danger Zone
鱒之介,椎名林檎,NIPPON
矢野号,SEX MACHINGUNS,世直しGOOD VIBRATION
令和喜多みな実,井上堯之バンド,傷だらけの天使
和牛,THE NEATBEATS,HAMBURG TWIST
麒麟,The Jackson 5,I Want You Back
